,Name,x,y,z,vx,vy,vz,En,Lz,Lperp,alpha,delta,met,age,age_error,apo,peri,zmax,circ
65,b'NGC6342',8.35,0.72,1.44,148.9,-289.3,-36.4,-231497.0191248653,121.959,238.84136216076558,260.2983,-19.605,-0.49,,,1.9531983137130737,1.1629348993301392,1.6879901885986328,0.36737478163672654
66,b'NGC6352',5.27,-1.77,-0.7,-172.2,-79.3,1.1,-196247.2743332499,768.4212,170.20500234276295,261.3739,-48.427,-0.62,10.75,0.38,4.591529846191406,3.136892557144165,0.851085364818573,0.9097818409544848
67,b'NGC6355',9.15547562150134,-0.0838298705391652,0.9001325996207574,-212.11125392137237,-131.13240045742208,137.8759109731809,-217591.34646579542,-91.22080657632551,339.31659896353915,260.994,-26.353,-1.33,,,3.2966127395629883,0.5220658779144287,2.697352647781372,-0.18614671494614213
68,b'NGC6356',14.76,1.74,2.68,50.6,-345.8,97.9,-173830.3240737246,773.5916,694.390945571182,260.8898,-17.8128,-0.35,,,7.92152214050293,3.06282639503479,4.4867377281188965,0.5772371653972795
69,b'NGC6362',5.98,-4.1,-2.29,-211.5,-151.9,124.7,-169226.70139109332,1026.6347999999998,820.8928937138874,262.9772,-67.0492,-1.07,12.5,0.25,7.51166296005249,4.924065113067627,4.362775802612305,0.7014400279907191
70,b'NGC6366',3.19,1.06,0.97,22.1,-73.6,-39.4,-189069.28880864705,890.0984000000001,237.58559029598152,261.9393,-5.0752,-0.59,11.0,0.5,5.216219425201416,3.6297709941864014,1.139990210533142,0.9201287399287857
71,b'NGC6380',10.72,-1.85,-0.65,-37.1,-193.9,2.5,-225019.59401712834,-78.75680000000008,16.566051800293305,263.6202,-39.0694,-0.4,,,3.3403310775756836,0.28098875284194946,0.327686607837677,-0.1973124920084924
72,b'NGC6388',9.52,-2.45,-1.16,40.2,-156.6,-22.8,-222031.97586021048,-241.36980000000005,145.09454149626038,264.0654,-44.7423,-0.45,,,3.113739252090454,0.9081745147705078,1.3440409898757935,-0.5431148532459386
73,b'NGC6397',2.09,-0.84,-0.48,-62.5,-134.7,-127.9,-182463.29270558723,712.4654,728.936557387054,265.1697,-53.6773,-1.99,13.0,0.25,6.524198055267334,2.843517780303955,3.375183582305908,0.6382427590564925
74,b'NGC6401',10.56,0.64,0.74,-74.9,-18.3,153.6,-194508.51537955913,-574.0504000000003,431.62700706346,264.6581,-23.9173,-1.01,,,4.948695182800293,2.4746432304382324,2.5750069618225098,-0.660566776224705
75,b'NGC6402',8.37,3.27,2.38,31.8,-279.0,13.0,-210487.12027148527,146.19219999999999,178.65804550576496,264.3984,-3.2473,-1.39,,,4.145030975341797,0.5138206481933594,2.405148983001709,0.2413470162126537
76,b'NGC6426',17.44804245586521,9.27710715186976,5.819028901032556,17.407794335484528,-379.2612920049909,-21.04892280564271,-143002.6153817512,1513.1525036216851,720.1971638790128,266.228,3.17,-2.36,12.9,0.75,15.521462440490723,4.760284900665283,6.356217384338379,0.618318798187148
77,b'NGC6440',8.41,1.14,0.56,-51.8,-167.9,-43.1,-253346.77212512743,-62.42940000000006,85.00104992651562,267.2028,-20.3521,-0.2,,,1.363464593887329,0.3288003206253052,0.8097237348556519,-0.3898925484012742
78,b'NGC6441',11.48,-1.3,-1.01,-22.3,-321.7,-28.9,-216720.96152988882,268.6288,96.36497809972252,267.554,-37.066,-0.44,,,3.7884867191314697,0.851930558681488,1.063295602798462,0.5236462087100537
79,b'NGC6453',11.54,-0.86,-0.78,-115.1,-267.2,-160.9,-204689.52212674354,166.12639999999993,605.1893119620009,267.7197,-34.6002,-1.48,,,4.153999328613281,1.2021533250808716,3.6395113468170166,0.24562556805746866
80,b'NGC6496',10.89,-2.31,-1.97,-229.9,-473.4,-70.0,-161092.45353089116,1121.8684000000003,673.6007741055084,269.7677,-44.266,-0.46,10.75,0.38,10.458300590515137,3.8328816890716553,4.483295440673828,0.6481933655579469
81,b'NGC6517',9.94,3.47,1.25,40.8,-223.3,-41.1,-212843.5741911837,143.65740000000002,189.6071535207731,270.4528,-8.9568,-1.24,,,4.171685218811035,0.43058884143829346,1.887569785118103,0.25691115885858545
82,b'NGC6522',7.68,0.137,-0.53,-31.7,-156.7,-193.3,-248559.83075001452,42.69859999999997,88.33777712860159,270.8956,-30.035,-1.45,,,1.434260368347168,0.397734671831131,1.034958004951477,0.2118102223622689
83,b'NGC6528',7.88,0.157,-0.58,208.3,-218.1,-44.7,-246005.0371920587,42.81059999999999,139.545013764027,271.2039,-30.055,0.07,,,1.676628828048706,0.21603675186634064,1.1718083620071411,0.19215368849206765
84,b'NGC6535',5.95,3.06,1.23,-133.2,-233.8,35.9,-207487.0547063267,-350.13599999999997,130.48849621744438,270.959,-0.2953,-1.79,12.75,0.5,4.544126510620117,1.1039209365844727,1.424561858177185,-0.5364406760462525
85,b'NGC6539',7.24,2.75,0.92,94.2,-214.5,162.6,-207221.11708672775,318.12539999999996,510.8074150958362,271.1924,-7.5896,-0.53,,,3.44144868850708,2.117206573486328,2.6281096935272217,0.4873974816742194
86,b'NGC6540',5.283976598686629,0.29341481047936385,-0.2889620278227441,-9.152774007688755,-106.1683824442129,49.47217675709713,-219575.98819975494,403.1914127953596,174.26770932144717,271.536,-27.765,,,,2.9481725692749023,1.6965248584747314,0.7475494742393494,0.8630168161879739
87,b'NGC6541',7.23,-1.37,-1.46,-232.4,-234.1,-116.6,-206016.5798608545,313.01680000000005,272.39512823371126,271.9827,-43.7144,-1.82,12.5,0.5,4.194220542907715,1.3043097257614136,2.624479055404663,0.4628098201822895
88,b'NGC6544',2.98,0.305,-0.115,-5.8,-248.7,-98.1,-201373.04361530524,-21.66469999999989,475.6844419495685,271.8438,-25.0186,-1.47,10.37,0.75,5.23611307144165,0.5454716086387634,3.2478067874908447,-0.028968402319986188
89,b'NGC6553',5.968476929403295,0.5373982287391125,-0.29746644672749817,0.49508886084110426,-6.6613465745028515,-12.185809344544843,-211689.83695124774,536.3934264161843,69.53993591026273,272.323,-25.909000000000002,-0.16,,,3.495619058609009,2.181006908416748,0.3898625075817108,0.9210002189707784
90,b'NGC6558',7.361640848155134,0.012014660928068013,-0.7523959534025598,-195.7357866686741,-156.6870365586353,6.141574495631996,-238634.54661494488,71.18249180019579,164.02604827933297,272.573,-31.764,-1.37,,,2.04034161567688,0.3361351191997528,1.3689548969268799,0.26767550049309324
